,label,silhouette,algorithm,cluster_name
0,0,89.42531593545235,DBSCAN,DBSCAN_0
1,1,96.32275214710725,DBSCAN,DBSCAN_1
2,2,75.34994830261952,DBSCAN,DBSCAN_2
3,3,34.82131214692077,DBSCAN,DBSCAN_3
4,4,28.74075190392841,DBSCAN,DBSCAN_4
5,0,66.68699226364348,KMeans,KMeans_0
6,1,31.857141283880292,KMeans,KMeans_1
7,2,44.48802333155524,KMeans,KMeans_2
8,3,71.48435344399398,KMeans,KMeans_3
9,4,92.82364541543413,KMeans,KMeans_4
10,5,33.23830626669857,KMeans,KMeans_5
11,6,32.95203240316883,KMeans,KMeans_6
