,label,silhouette,algorithm,cluster_name
0,0,73.80681755998884,BIRCH,BIRCH_0
1,1,85.46055040075262,BIRCH,BIRCH_1
2,2,106.68094413309846,BIRCH,BIRCH_2
3,3,69.80817756488122,BIRCH,BIRCH_3
4,4,43.54635274922373,BIRCH,BIRCH_4
5,5,93.9655448778875,SpectralClustering,SpectralClustering_5
6,6,70.44470537215102,SpectralClustering,SpectralClustering_6
7,7,67.91257183993247,SpectralClustering,SpectralClustering_7
8,8,71.48435344399395,SpectralClustering,SpectralClustering_8
9,9,26.43049029069903,SpectralClustering,SpectralClustering_9
10,10,33.35893550821562,SpectralClustering,SpectralClustering_10
11,11,26.801410844071977,SpectralClustering,SpectralClustering_11
