,0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,3
1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1
2,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1
3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4
4,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,2
5,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2
6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
7,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
8,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.01,1
9,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.01,1
10,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.01,1
11,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.01,2
12,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.01,1
13,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.01,2
14,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.01,2
15,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.01,2
16,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.01,3
17,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.01,1
18,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.01,3
19,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.01,1
20,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.01,1
21,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.01,1
22,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.01,2
23,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.01,2
24,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.01,1
25,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.01,1
26,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.01,1
27,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.01,1
28,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.01,1
29,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.01,2
30,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.01,2
31,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.01,2
32,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.01,3
33,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.01,2
34,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.01,1
35,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.01,1
36,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.01,3
37,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.01,1
38,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.01,3
39,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.01,3
40,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.01,1
41,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.01,3
42,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.01,2
43,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.01,3
44,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.01,2
45,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.03,2
46,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.03,1
47,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0.03,1
48,0,1,0,0,0,0,0,0,0,1,0,1,0.0,0.03,3
49,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.03,1
50,0,0,0,1,1,0,0,0,0,0,1,0,0.0,0.03,2
51,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0.03,2
52,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0.03,2
53,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0.03,2
54,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0.03,1
55,0,0,0,0,1,0,1,1,0,0,0,0,0.0,0.03,1
56,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.03,2
57,0,0,1,0,1,0,0,0,0,0,1,0,0.0,0.03,1
58,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.03,1
59,0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.03,2
60,0,1,1,0,0,0,0,0,0,0,1,0,0.0,0.03,1
61,0,0,1,0,0,1,0,0,0,0,1,0,0.0,0.03,1
62,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.03,2
63,0,0,0,0,1,0,1,0,0,0,1,0,0.0,0.03,5
64,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.03,3
65,0,1,0,0,0,0,1,1,0,0,0,0,0.0,0.03,1
66,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.03,1
67,1,0,1,0,0,1,0,0,0,0,0,0,0.0,0.03,1
68,0,1,0,0,0,0,0,1,0,0,0,1,0.0,0.03,1
69,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.03,1
70,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.03,1
71,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.03,1
72,0,0,0,0,1,0,0,1,1,0,0,0,0.0,0.03,2
73,1,0,0,0,0,1,1,0,0,0,0,0,0.0,0.03,1
74,0,1,0,0,1,0,1,0,0,0,0,0,0.0,0.03,3
75,0,0,0,0,0,1,0,0,1,0,1,0,0.0,0.03,1
76,0,0,1,0,0,0,0,0,0,1,1,0,0.0,0.03,2
77,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.03,1
78,0,0,0,0,0,0,0,1,0,0,1,1,0.0,0.03,2
79,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.03,1
80,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.03,1
81,0,1,0,0,0,0,0,0,1,0,1,0,0.0,0.03,2
82,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.03,2
83,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.03,2
84,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0.03,3
85,0,0,0,0,0,0,1,0,0,0,1,1,0.0,0.03,2
86,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.03,1
87,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0.03,2
88,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.03,4
89,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0.03,2
90,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.03,3
91,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.03,4
92,0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.03,1
93,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0.03,1
94,0,1,1,0,0,0,0,0,0,0,0,1,0.0,0.03,1
95,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.03,2
96,0,0,0,0,1,0,0,0,1,0,1,0,0.0,0.03,3
97,0,0,0,1,0,0,0,0,0,1,1,0,0.0,0.03,3
98,0,0,0,0,0,0,1,0,0,1,1,0,0.0,0.03,2
99,0,1,1,0,1,0,0,0,0,0,0,0,0.0,0.03,4
100,0,0,1,0,0,1,0,0,0,0,0,1,0.0,0.03,1
101,0,0,1,0,0,0,0,1,0,0,0,1,0.0,0.03,1
102,0,0,0,1,0,0,1,0,0,0,1,0,0.0,0.03,4
103,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.03,1
104,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.03,1
105,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0.03,1
106,1,1,0,0,0,0,0,1,0,0,0,0,0.0,0.03,1
107,0,1,1,0,0,0,0,0,1,0,0,0,0.0,0.03,1
108,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.03,2
109,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.03,2
110,0,0,0,1,0,1,0,0,0,0,0,1,0.0,0.03,1
111,0,0,1,0,0,0,0,0,1,0,1,0,0.0,0.03,4
112,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.03,4
113,0,0,0,1,0,0,0,0,0,0,1,1,0.0,0.03,4
114,0,1,0,0,0,0,0,0,1,1,0,0,0.0,0.03,1
115,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.03,2
116,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.03,2
117,1,0,0,0,1,0,1,0,0,0,0,0,0.0,0.03,1
118,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.03,1
119,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.03,2
120,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0.03,2
121,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.03,1
122,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0.03,1
123,0,1,0,0,0,0,0,0,1,0,0,1,0.0,0.03,2
124,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0.03,1
125,1,0,0,0,0,0,0,0,0,1,0,1,0.0,0.03,2
126,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.03,1
127,1,0,0,0,0,0,1,0,0,1,0,0,0.0,0.03,1
128,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.03,2
129,1,0,0,0,0,0,1,0,0,0,0,1,0.0,0.03,2
130,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.03,1
131,1,0,1,0,1,0,0,0,0,0,0,0,0.0,0.03,3
132,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0.03,2
133,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.03,2
134,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.03,2
135,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.03,2
136,0,0,0,0,1,0,1,0,1,0,0,0,0.0,0.03,2
137,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0.03,1
138,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0.03,1
139,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.03,2
140,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.03,2
141,1,0,0,0,0,0,0,1,0,0,0,1,0.0,0.03,3
