,x,y,label,DBSCAN,BIRCH
0,15.55,28.65,2,0,7
1,14.9,27.55,2,0,7
2,14.45,28.35,2,0,7
3,14.15,28.8,2,0,7
4,13.75,28.05,2,0,7
5,13.35,28.45,2,0,7
6,13.0,29.15,2,0,7
7,13.45,27.5,2,0,7
8,13.6,26.5,2,0,7
9,12.8,27.35,2,0,7
10,12.4,27.85,2,0,7
11,12.3,28.4,2,0,7
12,12.2,28.65,2,0,7
13,13.4,25.1,2,0,7
14,12.95,25.95,2,0,7
15,12.9,26.5,2,0,7
16,11.85,27.0,2,0,7
17,11.35,28.0,2,0,7
18,11.15,28.7,2,0,7
19,11.25,27.4,2,0,7
20,10.75,27.7,2,0,7
21,10.5,28.35,2,0,7
22,9.65,28.45,2,0,7
23,10.25,27.25,2,0,7
24,10.75,26.55,2,0,7
25,11.7,26.35,2,0,7
26,11.6,25.9,2,0,7
27,11.9,25.05,2,0,7
28,12.6,24.05,2,0,7
29,11.9,24.5,2,0,7
30,11.1,25.2,2,0,7
31,10.55,25.15,2,0,7
32,10.05,25.95,2,0,7
33,9.35,26.6,2,0,7
34,9.3,27.25,2,0,7
35,9.2,27.8,2,0,7
36,7.5,28.25,2,0,7
37,8.55,27.45,2,0,7
38,8.5,27.05,2,0,7
39,8.05,27.2,2,0,7
40,7.85,26.8,2,0,7
41,7.3,27.4,2,0,7
42,6.8,26.85,2,0,7
43,7.0,26.5,2,0,7
44,7.55,26.3,2,0,7
45,8.55,26.3,2,0,7
46,9.0,25.85,2,0,7
47,8.6,25.65,2,0,7
48,9.4,25.55,2,0,7
49,8.45,25.05,2,0,7
50,8.85,24.6,2,0,7
51,9.65,24.7,2,0,7
52,10.55,24.35,2,0,7
53,11.05,23.9,2,0,7
54,10.55,23.55,2,0,7
55,9.45,23.35,2,0,7
56,9.2,23.9,2,0,7
57,8.35,23.9,2,0,7
58,7.35,24.75,2,0,7
59,7.4,25.45,2,0,7
60,6.6,25.75,2,0,7
61,6.1,26.0,2,0,7
62,5.8,26.95,2,0,7
63,5.65,25.8,2,0,7
64,5.3,26.1,2,0,7
65,6.4,25.4,2,0,7
66,5.4,25.25,2,0,7
67,5.35,24.7,2,0,7
68,4.8,25.05,2,0,7
69,4.2,25.55,2,0,7
70,6.4,24.8,2,0,7
71,6.55,24.3,2,0,7
72,7.4,24.25,2,0,7
73,5.45,24.2,2,0,7
74,4.3,24.0,2,0,7
75,4.0,24.25,2,0,7
76,3.35,23.3,2,0,7
77,4.85,23.05,2,0,7
78,4.3,22.75,2,0,7
79,5.85,23.4,2,0,7
80,5.9,23.55,2,0,7
81,7.55,23.7,2,0,7
82,6.85,23.25,2,0,7
83,7.65,23.1,2,0,7
84,6.95,22.55,2,0,7
85,6.1,22.6,2,0,7
86,5.5,22.6,2,0,7
87,4.7,22.1,2,0,7
88,3.8,21.85,2,0,7
89,4.65,21.2,2,0,7
90,4.15,20.35,2,0,7
91,5.3,20.4,2,0,7
92,5.6,20.75,2,0,7
93,5.8,21.95,2,0,7
94,6.4,21.95,2,0,7
95,6.55,21.15,2,0,7
96,7.45,21.95,2,0,7
97,7.4,21.55,2,0,7
98,7.75,21.2,2,0,7
99,7.65,20.65,2,0,7
100,6.95,19.8,2,0,7
101,6.6,20.1,2,0,7
102,6.05,20.2,2,0,7
103,5.4,19.65,2,0,7
104,5.35,19.05,2,0,7
105,5.8,18.25,2,0,7
