,0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2
1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1
2,0,0,0,0,0,0,1,0,0,0,0.0,0.0,3
3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,5
4,0,0,0,0,0,0,0,1,0,0,0.0,0.0,2
5,0,0,0,0,0,1,0,0,0,0,0.0,0.0,3
6,0,0,0,0,0,0,0,0,1,0,0.0,0.0,3
7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5
8,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3
9,0,1,0,1,0,0,0,0,0,0,0.0,0.01,1
10,0,0,0,1,0,0,1,0,0,0,0.0,0.01,5
11,0,0,1,0,0,0,1,0,0,0,0.0,0.01,3
12,0,0,1,0,0,0,0,1,0,0,0.0,0.01,1
13,0,0,1,1,0,0,0,0,0,0,0.0,0.01,3
14,0,0,1,0,1,0,0,0,0,0,0.0,0.01,5
15,1,0,0,0,0,0,0,0,1,0,0.0,0.01,1
16,0,0,0,0,0,1,0,0,0,1,0.0,0.01,3
17,1,1,0,0,0,0,0,0,0,0,0.0,0.01,3
18,1,0,1,0,0,0,0,0,0,0,0.0,0.01,3
19,1,0,0,1,0,0,0,0,0,0,0.0,0.01,3
20,0,1,0,0,1,0,0,0,0,0,0.0,0.01,4
21,0,0,0,1,1,0,0,0,0,0,0.0,0.01,3
22,0,0,0,0,1,0,1,0,0,0,0.0,0.01,4
23,0,0,0,1,0,0,0,1,0,0,0.0,0.01,3
24,0,0,0,0,0,1,1,0,0,0,0.0,0.01,3
25,1,0,0,0,0,0,1,0,0,0,0.0,0.01,6
26,0,1,0,0,0,1,0,0,0,0,0.0,0.01,5
27,0,1,0,0,0,0,0,1,0,0,0.0,0.01,3
28,0,0,0,0,0,0,1,1,0,0,0.0,0.01,5
29,0,0,0,0,0,0,0,0,1,1,0.0,0.01,3
30,0,1,0,0,0,0,0,0,1,0,0.0,0.01,2
31,1,0,0,0,1,0,0,0,0,0,0.0,0.01,6
32,0,0,0,0,0,0,1,0,1,0,0.0,0.01,3
33,0,0,0,0,0,0,1,0,0,1,0.0,0.01,3
34,0,0,0,0,1,1,0,0,0,0,0.0,0.01,6
35,0,0,0,1,0,0,0,0,0,1,0.0,0.01,5
36,0,0,0,1,0,0,0,0,1,0,0.0,0.01,2
37,1,0,0,0,0,1,0,0,0,0,0.0,0.01,10
38,0,0,0,0,0,1,0,1,0,0,0.0,0.01,3
39,0,0,0,0,0,0,0,1,0,1,0.0,0.01,1
40,0,0,0,0,0,1,0,0,1,0,0.0,0.01,2
41,1,0,0,0,0,0,0,0,0,1,0.0,0.01,3
42,0,0,0,0,1,0,0,0,1,0,0.0,0.01,7
43,0,0,0,0,0,0,0,1,1,0,0.0,0.01,5
44,0,0,0,0,1,0,0,1,0,0,0.0,0.01,4
45,0,0,1,1,0,0,1,0,0,0,0.0,0.03,6
46,0,0,1,0,1,0,1,0,0,0,0.0,0.03,4
47,1,1,0,0,0,0,0,0,1,0,0.0,0.03,1
48,0,0,1,0,0,0,1,1,0,0,0.0,0.03,2
49,1,0,1,0,1,0,0,0,0,0,0.0,0.03,1
50,1,0,0,0,0,0,1,0,1,0,0.0,0.03,2
51,0,1,1,1,0,0,0,0,0,0,0.0,0.03,3
52,0,0,0,1,0,0,1,1,0,0,0.0,0.03,5
53,0,0,0,1,1,0,1,0,0,0,0.0,0.03,6
54,1,1,0,1,0,0,0,0,0,0,0.0,0.03,5
55,0,0,1,1,1,0,0,0,0,0,0.0,0.03,9
56,0,1,0,1,0,0,0,1,0,0,0.0,0.03,3
57,0,0,0,0,0,1,0,0,1,1,0.0,0.03,3
58,1,0,0,0,0,0,0,0,1,1,0.0,0.03,4
59,1,0,1,0,0,0,1,0,0,0,0.0,0.03,11
60,0,0,1,1,0,0,0,1,0,0,0.0,0.03,2
61,1,1,0,0,1,0,0,0,0,0,0.0,0.03,5
62,0,1,0,1,1,0,0,0,0,0,0.0,0.03,3
63,0,0,1,0,1,0,0,1,0,0,0.0,0.03,1
64,1,0,0,1,0,0,0,0,1,0,0.0,0.03,4
65,1,0,0,0,1,0,0,0,1,0,0.0,0.03,8
66,1,1,1,0,0,0,0,0,0,0,0.0,0.03,2
67,0,0,0,0,0,1,1,0,0,1,0.0,0.03,5
68,0,1,1,0,0,0,0,1,0,0,0.0,0.03,1
69,0,1,1,0,1,0,0,0,0,0,0.0,0.03,5
70,1,0,1,1,0,0,0,0,0,0,0.0,0.03,7
71,1,0,0,1,0,0,1,0,0,0,0.0,0.03,14
72,0,0,0,1,0,0,1,0,0,1,0.0,0.03,1
73,0,0,0,0,1,0,1,1,0,0,0.0,0.03,2
74,0,0,0,0,1,1,1,0,0,0,0.0,0.03,6
75,0,1,0,0,1,0,0,1,0,0,0.0,0.03,2
76,0,0,1,0,0,0,1,0,0,1,0.0,0.03,1
77,0,0,1,1,0,0,0,0,0,1,0.0,0.03,5
78,1,0,0,1,1,0,0,0,0,0,0.0,0.03,4
79,0,1,0,0,0,1,0,1,0,0,0.0,0.03,2
80,1,1,0,0,0,1,0,0,0,0,0.0,0.03,6
81,0,0,0,0,0,1,1,1,0,0,0.0,0.03,4
82,0,1,0,1,0,0,0,0,1,0,0.0,0.03,5
83,1,0,0,0,0,1,0,0,0,1,0.0,0.03,7
84,1,0,0,0,0,1,0,0,1,0,0.0,0.03,7
85,1,0,0,0,1,0,1,0,0,0,0.0,0.03,7
86,0,1,0,0,1,1,0,0,0,0,0.0,0.03,4
87,0,0,0,1,1,0,0,1,0,0,0.0,0.03,6
88,0,0,0,1,0,0,1,0,1,0,0.0,0.03,5
89,1,0,1,0,0,0,0,0,0,1,0.0,0.03,2
90,0,0,0,0,0,0,1,0,1,1,0.0,0.03,1
91,0,0,0,0,0,0,1,1,1,0,0.0,0.03,5
92,0,0,0,0,1,0,1,0,1,0,0.0,0.03,3
93,0,0,0,0,0,0,0,1,1,1,0.0,0.03,3
94,0,1,0,0,0,0,0,1,1,0,0.0,0.03,5
95,0,1,0,0,1,0,0,0,1,0,0.0,0.03,2
96,0,0,0,0,0,0,1,1,0,1,0.0,0.03,4
97,0,0,0,1,0,0,0,1,1,0,0.0,0.03,2
98,0,0,0,1,1,0,0,0,1,0,0.0,0.03,3
99,0,1,0,0,0,1,0,0,1,0,0.0,0.03,5
100,0,0,0,1,0,0,0,0,1,1,0.0,0.03,2
101,1,0,0,0,0,0,1,0,0,1,0.0,0.03,4
102,0,0,0,0,1,1,0,1,0,0,0.0,0.03,6
103,1,0,0,0,1,1,0,0,0,0,0.0,0.03,7
104,1,0,0,0,0,1,1,0,0,0,0.0,0.03,7
105,0,0,0,1,0,0,0,1,0,1,0.0,0.03,4
106,0,0,0,0,1,0,0,1,1,0,0.0,0.03,4
107,0,0,0,0,0,1,1,0,1,0,0.0,0.03,4
108,0,0,0,0,0,1,0,1,1,0,0.0,0.03,5
109,0,0,0,0,1,1,0,0,1,0,0.0,0.03,8
110,1,0,0,1,0,0,0,0,0,1,0.0,0.03,6
