,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.01,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.01,1
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,1
3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.01,1
4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.01,1
5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,0.03,1
6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0.03,1
7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0.03,1
8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.03,1
9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.03,1
10,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0,0.03,1
11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.03,1
12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.03,1
13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.03,1
14,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,0.03,1
15,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0.03,1
16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0.03,1
17,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.03,1
18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.03,1
19,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.03,1
20,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.03,1
21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.03,1
22,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.03,1
23,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.03,1
24,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.03,1
25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.03,1
26,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.03,1
27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.03,1
28,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.03,1
29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.03,1
30,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.03,1
31,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.03,1
32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.03,1
33,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.03,1
34,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.03,1
35,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.03,1
36,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03,1
37,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.03,1
38,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.0,0.060000000000000005,1
39,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.0,0.060000000000000005,1
40,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.060000000000000005,1
41,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.0,0.060000000000000005,1
42,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0.0,0.060000000000000005,1
43,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.060000000000000005,1
44,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.060000000000000005,1
45,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0.0,0.060000000000000005,1
46,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0.060000000000000005,1
47,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0.0,0.060000000000000005,1
48,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0.060000000000000005,1
49,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.060000000000000005,1
50,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0.0,0.060000000000000005,1
51,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0.0,0.060000000000000005,1
52,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.060000000000000005,1
53,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0.060000000000000005,1
54,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0.060000000000000005,1
55,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.060000000000000005,1
56,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.060000000000000005,1
57,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.0,0.060000000000000005,1
58,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0.060000000000000005,1
59,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.0,0.060000000000000005,1
60,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0.0,0.060000000000000005,1
61,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.060000000000000005,1
62,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.060000000000000005,1
63,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0.0,0.060000000000000005,1
64,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0,0.060000000000000005,1
65,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.060000000000000005,1
