,0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,1,0,1,1,0,1,0,1,0.0,0.0,1
1,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,1
2,1,0,0,1,0,1,0,0,1,1,1,0,0.0,0.0,1
3,0,0,0,0,0,1,0,1,0,1,0,0,0.0,0.0,1
4,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0.0,1
5,1,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1
6,0,0,0,0,0,1,1,1,1,0,1,1,0.0,0.0,1
7,0,0,0,1,0,1,0,1,1,0,1,0,0.0,0.0,1
8,0,0,0,0,1,0,1,1,1,1,0,0,0.0,0.0,1
9,0,0,0,1,0,0,1,1,1,1,1,0,0.0,0.0,1
10,0,1,0,0,0,0,1,1,0,0,0,0,0.0,0.0,1
11,0,0,0,1,1,0,0,1,1,0,0,0,0.0,0.0,1
12,0,0,0,0,0,0,1,1,0,1,1,1,0.0,0.0,1
13,0,0,0,1,0,1,1,1,1,0,0,0,0.0,0.0,1
14,0,0,0,1,0,1,0,1,0,1,0,0,0.0,0.0,1
15,1,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,1
16,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,1
17,0,0,0,1,0,1,0,1,0,0,0,0,0.0,0.0,1
18,0,0,0,1,1,1,0,1,1,1,0,0,0.0,0.0,1
19,0,0,0,1,1,0,1,0,0,0,0,0,0.0,0.0,1
20,1,0,0,1,0,0,0,1,0,1,0,0,0.0,0.0,1
21,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,1
22,1,0,0,0,0,1,0,0,1,1,1,0,0.0,0.0,1
23,1,0,1,1,0,1,0,0,1,0,0,0,0.0,0.0,1
24,0,0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,1
25,0,0,0,1,0,0,0,0,1,1,1,0,0.0,0.0,1
26,0,1,0,0,0,0,1,0,0,1,0,1,0.0,0.0,1
27,0,0,0,0,1,0,0,1,0,1,0,1,0.0,0.0,1
28,0,0,0,1,0,1,1,1,1,1,1,0,0.0,0.0,1
29,1,1,0,0,1,0,0,1,0,1,0,0,0.0,0.0,1
30,1,0,0,1,1,0,0,1,0,1,0,0,0.0,0.0,1
31,0,0,0,1,0,0,1,0,0,1,1,0,0.0,0.0,1
32,1,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1
33,0,0,0,1,0,0,0,1,1,1,0,0,0.0,0.0,2
34,0,0,0,0,0,1,0,1,1,0,1,1,0.0,0.0,1
35,0,1,0,1,1,0,0,1,0,1,0,0,0.0,0.0,1
36,1,0,0,1,0,0,0,1,1,1,0,0,0.0,0.0,1
37,1,0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,2
38,1,0,0,0,1,1,0,0,0,1,0,0,0.0,0.0,1
39,1,0,0,1,1,0,0,1,1,0,0,0,0.0,0.0,2
40,0,0,0,0,0,1,1,1,0,0,1,0,0.0,0.0,1
41,1,0,1,1,1,0,0,0,1,0,0,0,0.0,0.0,1
42,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0.0,1
43,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,1
44,0,0,0,1,0,0,0,1,1,0,1,0,0.0,0.0,1
45,1,0,0,1,0,0,0,1,0,1,1,0,0.0,0.0,1
46,0,0,0,1,0,0,0,1,0,1,1,0,0.0,0.0,1
47,1,1,1,1,1,0,0,0,0,0,0,0,0.0,0.0,1
48,1,0,0,0,0,1,0,1,1,1,1,0,0.0,0.0,1
49,0,0,0,1,0,1,1,0,1,0,1,0,0.0,0.0,2
50,0,0,0,1,0,1,0,1,0,1,1,0,0.0,0.0,2
51,0,0,0,0,1,1,0,1,1,0,0,1,0.0,0.0,2
52,0,0,0,0,0,1,0,1,0,0,1,1,0.0,0.0,1
53,0,0,1,0,0,1,1,0,1,0,1,1,0.0,0.0,1
54,0,1,0,0,1,0,1,0,0,1,0,1,0.0,0.0,1
55,1,0,0,1,0,0,0,0,1,1,1,0,0.0,0.0,1
56,0,0,0,1,0,0,1,1,1,1,0,0,0.0,0.0,1
57,0,0,0,0,0,1,1,0,0,1,0,1,0.0,0.0,1
58,0,0,0,0,1,0,1,1,1,1,0,1,0.0,0.0,1
59,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1
60,0,0,1,0,0,0,0,0,1,0,1,0,0.0,0.0,1
61,1,1,0,1,1,0,0,0,0,1,0,0,0.0,0.0,1
62,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,2
63,0,0,0,1,1,1,1,1,1,1,0,0,0.0,0.0,1
64,0,0,0,0,0,1,1,0,0,1,1,1,0.0,0.0,1
65,0,0,1,0,0,0,1,0,1,0,1,1,0.0,0.0,1
66,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,1
67,0,1,0,0,1,0,1,1,0,1,0,1,0.0,0.0,1
68,0,0,0,0,0,1,0,0,1,0,1,1,0.0,0.0,1
69,0,0,0,0,0,1,1,1,0,1,1,1,0.0,0.0,1
70,0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,1
71,1,0,0,1,1,1,0,1,0,1,0,0,0.0,0.0,2
72,0,0,0,0,0,1,1,1,0,1,1,0,0.0,0.0,2
73,1,0,0,1,0,1,0,1,0,1,0,0,0.0,0.0,1
74,0,0,0,0,0,0,1,1,1,1,0,0,0.0,0.0,2
75,0,0,0,1,0,1,0,1,1,0,0,0,0.0,0.0,1
76,0,0,0,0,0,1,0,0,1,0,1,0,0.0,0.0,1
77,0,0,0,0,0,1,1,1,1,1,1,0,0.0,0.0,2
78,0,0,0,0,0,1,0,1,1,0,0,1,0.0,0.0,1
79,0,0,0,0,0,1,1,0,1,1,1,1,0.0,0.0,1
80,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,1
81,0,0,0,0,0,0,1,1,0,1,0,0,0.0,0.0,1
82,0,0,0,1,0,0,0,1,1,1,1,0,0.0,0.0,1
83,0,0,0,1,0,0,1,1,0,1,1,0,0.0,0.0,1
84,0,0,1,0,1,1,0,0,0,0,0,1,0.0,0.0,1
85,1,0,1,1,0,1,0,0,0,0,1,0,0.0,0.0,2
