,0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
3,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,4
4,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,4
5,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5
7,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1
8,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,3
9,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.01,3
10,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.01,1
11,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.01,1
12,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.01,3
13,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.01,1
14,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.01,1
15,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.01,2
16,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.01,1
17,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.01,1
18,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.01,1
19,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.01,3
20,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0.01,1
21,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.01,3
22,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.01,1
23,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.01,2
24,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.01,4
25,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.01,4
26,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.01,3
27,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.01,1
28,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.01,1
29,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.01,2
30,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.01,2
31,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.01,1
32,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.01,2
33,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.01,4
34,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.01,1
35,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.01,3
36,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.01,1
37,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.01,1
