,label,silhouette,algorithm,cluster_name
0,0,89.42531593545236,DBSCAN,DBSCAN_0
1,1,96.32275214710725,DBSCAN,DBSCAN_1
2,2,75.3499483026195,DBSCAN,DBSCAN_2
3,3,34.82131214692073,DBSCAN,DBSCAN_3
4,4,28.740751903928405,DBSCAN,DBSCAN_4
5,5,49.57876493760738,KMeans,KMeans_5
6,6,85.7493005413401,KMeans,KMeans_6
7,7,72.44777834867011,KMeans,KMeans_7
8,8,44.835703615979185,KMeans,KMeans_8
9,9,64.05875998675225,KMeans,KMeans_9
10,10,29.907458759189975,KMeans,KMeans_10
11,11,32.43608016211123,KMeans,KMeans_11
12,17,73.80681755998884,BIRCH,BIRCH_17
13,18,85.46055040075262,BIRCH,BIRCH_18
14,19,106.68094413309846,BIRCH,BIRCH_19
15,20,69.80817756488122,BIRCH,BIRCH_20
16,21,43.54635274922373,BIRCH,BIRCH_21
17,39,93.9655448778875,SpectralClustering,SpectralClustering_39
18,40,67.91257183993247,SpectralClustering,SpectralClustering_40
19,41,70.44470537215102,SpectralClustering,SpectralClustering_41
20,42,71.48435344399395,SpectralClustering,SpectralClustering_42
21,43,33.35893550821562,SpectralClustering,SpectralClustering_43
22,44,26.43049029069903,SpectralClustering,SpectralClustering_44
23,45,26.801410844071977,SpectralClustering,SpectralClustering_45
