,label,silhouette,algorithm,cluster_name
0,0,89.42531593545236,DBSCAN,DBSCAN_0
1,1,96.32275214710725,DBSCAN,DBSCAN_1
2,2,75.3499483026195,DBSCAN,DBSCAN_2
3,3,34.82131214692073,DBSCAN,DBSCAN_3
4,4,28.740751903928405,DBSCAN,DBSCAN_4
5,5,66.68699226364345,KMeans,KMeans_5
6,6,31.8571412838803,KMeans,KMeans_6
7,7,44.48802333155524,KMeans,KMeans_7
8,8,71.48435344399395,KMeans,KMeans_8
9,9,92.82364541543413,KMeans,KMeans_9
10,10,33.23830626669853,KMeans,KMeans_10
11,11,32.95203240316883,KMeans,KMeans_11
12,17,71.48435344399395,SpectralClustering,SpectralClustering_17
13,18,93.9655448778875,SpectralClustering,SpectralClustering_18
14,19,33.35893550821562,SpectralClustering,SpectralClustering_19
15,20,26.43049029069903,SpectralClustering,SpectralClustering_20
16,21,70.44470537215102,SpectralClustering,SpectralClustering_21
17,22,67.91257183993247,SpectralClustering,SpectralClustering_22
18,23,26.801410844071977,SpectralClustering,SpectralClustering_23
