,0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,3
1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2
2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
4,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,4
5,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,2
6,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.01,1
7,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.01,1
8,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.01,1
9,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.01,1
10,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.01,1
11,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.01,2
12,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.01,2
13,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.01,2
14,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.01,1
15,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.01,2
16,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.01,1
17,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.01,2
18,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.01,1
19,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.01,1
20,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.01,1
21,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.01,1
22,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.01,2
23,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.01,1
24,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.01,1
25,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.01,2
26,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.01,2
27,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.01,1
28,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.01,1
29,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.01,2
30,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.01,1
31,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.01,1
