,0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2
2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
4,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,2
5,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,3
6,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1
7,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.01,1
8,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.01,2
9,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.01,2
10,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.01,2
11,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.01,1
12,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.01,1
13,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.01,1
14,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.01,1
15,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.01,1
16,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.01,3
17,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.01,3
18,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.01,1
19,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.01,2
20,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.01,4
21,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.01,1
22,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.01,3
23,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.01,1
24,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.01,1
25,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.01,2
26,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.01,1
27,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.01,3
28,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,1
29,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.01,2
30,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.01,2
31,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.01,1
32,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.01,1
33,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.01,2
34,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.01,3
35,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.01,1
36,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.01,1
37,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.01,2
38,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.01,3
39,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.01,1
40,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.01,1
41,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.01,4
42,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.01,3
43,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.01,2
44,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.01,1
45,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0.03,1
46,0,0,1,0,1,0,0,0,0,0,1,0,0.0,0.03,5
47,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.03,3
48,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.03,3
49,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.03,1
50,0,0,0,0,0,0,1,0,0,0,1,1,0.0,0.03,2
51,0,0,0,1,0,0,0,0,1,0,0,1,0.0,0.03,1
52,1,0,0,0,1,0,1,0,0,0,0,0,0.0,0.03,2
53,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.03,1
54,0,0,0,0,1,1,0,0,0,0,1,0,0.0,0.03,3
55,0,1,1,0,0,0,0,0,0,0,1,0,0.0,0.03,2
56,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.03,7
57,0,1,0,0,0,0,0,0,1,0,1,0,0.0,0.03,4
58,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.03,3
59,1,0,0,0,0,0,1,1,0,0,0,0,0.0,0.03,1
60,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.03,1
61,1,0,0,0,0,0,1,0,0,0,0,1,0.0,0.03,1
62,0,1,0,0,0,1,1,0,0,0,0,0,0.0,0.03,1
63,1,0,1,0,1,0,0,0,0,0,0,0,0.0,0.03,1
64,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.03,1
65,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.03,1
66,0,0,1,0,0,0,0,1,0,1,0,0,0.0,0.03,1
67,1,0,0,0,0,1,1,0,0,0,0,0,0.0,0.03,1
68,0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.03,2
69,1,0,1,0,0,0,1,0,0,0,0,0,0.0,0.03,1
70,1,0,1,0,0,1,0,0,0,0,0,0,0.0,0.03,1
71,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0.03,4
72,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0.03,1
73,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.03,1
74,0,0,0,0,1,0,0,0,0,1,1,0,0.0,0.03,4
75,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0.03,4
76,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0.03,2
77,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.03,4
78,0,0,1,0,1,0,1,0,0,0,0,0,0.0,0.03,1
79,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0.03,1
80,0,1,0,0,1,0,1,0,0,0,0,0,0.0,0.03,2
81,0,0,1,0,0,0,0,0,0,1,1,0,0.0,0.03,1
82,0,0,1,0,1,0,0,0,0,1,0,0,0.0,0.03,5
83,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.03,3
84,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.03,1
85,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.03,7
86,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.03,4
87,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.03,3
88,0,0,0,0,0,1,0,0,1,0,1,0,0.0,0.03,1
89,0,1,1,0,1,0,0,0,0,0,0,0,0.0,0.03,3
90,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.03,1
91,0,1,0,0,0,0,0,1,0,0,1,0,0.0,0.03,1
92,1,0,0,0,1,0,0,1,0,0,0,0,0.0,0.03,2
93,0,0,1,0,0,0,1,1,0,0,0,0,0.0,0.03,1
94,1,0,0,0,0,0,0,0,0,1,0,1,0.0,0.03,1
95,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.03,1
96,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.03,1
97,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.03,2
98,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.03,1
99,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0.03,1
100,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.03,3
101,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.03,1
102,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0.03,2
103,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.03,2
104,0,0,0,1,1,0,1,0,0,0,0,0,0.0,0.03,1
105,0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.03,1
106,1,0,0,0,0,1,0,0,0,1,0,0,0.0,0.03,3
107,0,1,0,0,0,0,1,1,0,0,0,0,0.0,0.03,1
108,1,0,1,0,0,0,0,1,0,0,0,0,0.0,0.03,4
109,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.03,3
110,1,1,0,0,0,0,0,1,0,0,0,0,0.0,0.03,1
111,0,0,0,0,0,0,1,1,1,0,0,0,0.0,0.03,1
112,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.03,2
113,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.03,2
114,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.03,3
115,0,1,1,0,0,0,0,1,0,0,0,0,0.0,0.03,3
116,0,0,0,0,1,0,1,1,0,0,0,0,0.0,0.03,1
117,0,0,0,0,0,0,0,1,0,1,0,1,0.0,0.03,2
118,0,0,0,0,1,0,0,1,0,0,1,0,0.0,0.03,1
119,1,0,0,0,0,0,0,0,1,0,0,1,0.0,0.03,2
120,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.03,1
