,0,1,2,3,4,5,6,7,8,9,10,11,12,13,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1
6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.01,2
7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,1
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,1
9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.01,1
10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.01,1
11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.01,1
12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.01,1
13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.01,1
14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.01,2
15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.01,1
16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.01,2
17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.01,3
18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.01,1
19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.01,1
20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.01,1
21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.01,1
22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.01,1
23,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.01,1
24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.01,1
25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.01,1
26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.01,1
27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.01,1
28,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.01,1
29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.01,1
30,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.01,2
31,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.01,2
32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.01,1
33,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,1
34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.01,1
35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.01,1
36,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,0.03,1
37,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.03,1
38,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.03,1
39,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.03,1
40,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.03,1
41,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.03,1
42,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.03,1
43,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.03,2
44,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.03,1
45,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.0,0.03,1
46,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.0,0.03,2
47,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.03,1
48,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0.03,1
49,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0.03,1
50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.03,1
51,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.03,1
52,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.03,1
53,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,0.03,1
54,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.03,1
55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,0.03,1
56,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.03,1
57,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,0.03,1
58,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0,0.03,1
59,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.03,1
60,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,0.03,1
61,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0.03,3
62,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.03,1
63,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0,0.03,1
64,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0.03,2
65,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,0.03,1
66,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0.03,1
67,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,0.03,1
68,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0.03,2
69,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.0,0.03,1
70,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.0,0.03,1
71,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.03,1
72,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.03,1
73,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.03,1
74,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0.03,1
75,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.03,1
76,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0.03,1
77,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.0,0.03,1
78,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.03,1
79,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,0.03,1
80,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.03,1
81,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.03,1
82,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.03,1
