,0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,0,1,1,0,0,1,1,1,1,1,1,1,0.0,-482.19950671080295,12
1,1,1,1,0,0,1,1,1,1,0,1,1,0.0,-472.6573887625762,15
2,1,1,1,1,0,1,0,1,1,0,1,1,0.0,-470.9812128834635,25
3,0,1,1,0,0,1,1,0,1,1,1,1,0.0,-461.82480133865187,10
4,1,1,1,0,0,1,1,1,1,1,1,1,0.0,-455.9363242707919,1
5,0,1,1,0,0,1,1,1,1,1,0,1,0.0,-455.84901642010385,9
6,0,1,1,0,0,1,1,1,1,1,1,0,0.0,-455.4780958667309,20
7,1,1,1,1,0,1,0,1,1,1,1,1,0.0,-454.2601483916792,6
8,1,1,1,1,0,1,0,1,0,0,1,1,0.0,-453.138641043531,18
9,1,1,1,0,0,1,1,0,1,0,1,1,0.0,-452.2826833904251,5
10,0,1,1,1,0,1,1,1,1,1,1,1,0.0,-451.93768427568426,7
11,1,1,1,0,0,1,0,1,1,0,1,1,0.0,-451.2430353185822,5
12,1,1,1,1,0,1,0,0,1,0,1,1,0.0,-450.60650751131243,4
13,0,1,1,0,0,1,1,1,1,0,1,1,0.0,-448.92057120258727,7
14,0,0,1,0,0,1,1,1,1,1,1,1,0.0,-446.8089563100503,12
15,1,1,1,0,0,1,1,1,1,0,0,1,0.0,-446.3068984718771,3
16,1,1,1,0,0,1,1,1,1,0,1,0,0.0,-445.93597791850414,6
17,1,1,1,1,0,1,0,1,1,0,0,1,0.0,-444.6307225927644,4
18,1,1,1,1,0,1,0,1,1,0,1,0,0.0,-444.25980203939145,10
19,1,1,1,1,0,1,1,1,1,0,1,1,0.0,-442.3955663274575,3
20,0,1,1,0,0,0,1,1,1,1,1,1,0.0,-438.3039618329154,9
21,1,0,1,0,0,1,1,1,1,0,1,1,0.0,-437.2668383618235,4
22,1,1,1,1,0,1,0,1,0,1,1,1,0.0,-436.42757655174665,9
23,1,0,1,1,0,1,0,1,1,0,1,1,0.0,-435.59066248271074,3
24,1,1,1,0,0,1,1,0,1,1,1,1,0.0,-435.5716188986408,4
25,0,1,1,0,0,1,1,0,1,1,0,1,0.0,-435.4643110479528,2
26,0,1,1,0,0,1,1,0,1,1,1,0,0.0,-435.0933904945798,5
27,1,1,1,0,0,1,0,1,1,1,1,1,0.0,-434.5319708267979,1
28,0,1,1,1,0,1,1,1,0,1,1,1,0.0,-434.1051124357517,7
29,1,1,1,1,0,1,0,0,1,1,1,1,0.0,-433.8954430195281,3
30,1,1,1,1,0,1,0,0,0,0,1,1,0.0,-432.7539356713799,4
31,0,1,1,1,0,1,1,0,1,1,1,1,0.0,-431.57297890353317,2
32,1,1,1,0,0,1,0,0,1,0,1,1,0.0,-430.8583299464311,3
33,0,1,1,1,0,1,0,1,1,1,1,1,0.0,-430.53333083169025,1
34,1,1,1,0,0,1,1,1,1,1,1,0,0.0,-429.2249134267198,1
35,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-429.1176055760318,9
36,1,1,1,0,0,0,1,1,1,0,1,1,0.0,-428.76184388468863,5
37,0,1,1,0,1,0,1,1,1,1,0,0,0.0,-428.688413447368,4
38,0,1,1,0,0,1,1,0,1,0,1,1,0.0,-428.5358658304362,2
39,1,1,1,1,0,1,0,1,1,1,0,1,0.0,-427.9196581009801,2
40,1,1,1,1,0,1,0,1,1,1,1,0,0.0,-427.5487375476071,4
41,1,1,1,1,0,0,0,1,1,0,1,1,0.0,-427.08566800557594,5
42,1,1,1,1,0,1,0,1,0,0,0,1,0.0,-426.7781507528319,7
43,0,0,1,0,0,1,1,0,1,1,1,1,0.0,-426.4242509378992,2
44,1,1,1,1,0,1,0,1,0,0,1,0,0.0,-426.4072301994589,7
45,1,1,1,0,0,1,1,0,1,0,0,1,0.0,-425.92219309972603,3
46,0,1,1,1,0,1,1,1,1,1,0,1,0.0,-425.59719398498515,3
47,0,1,0,0,0,1,1,1,1,1,1,1,0.0,-425.5885625777044,4
48,1,1,1,0,0,1,1,0,1,0,1,0,0.0,-425.55127254635306,5
49,0,1,1,1,0,1,1,1,1,1,1,0,0.0,-425.2262734316122,2
50,1,1,1,0,0,1,0,1,1,0,0,1,0.0,-424.8825450278831,2
51,1,1,1,1,0,1,1,1,0,0,1,1,0.0,-424.562994487525,4
52,1,1,1,0,0,1,0,1,1,0,1,0,0.0,-424.51162447451014,6
53,1,1,1,1,0,1,0,0,1,0,1,0,0.0,-423.87509666724037,6
54,0,1,1,0,1,1,1,1,1,1,0,0,0.0,-422.6039583252556,3
55,0,1,1,0,0,1,1,1,1,0,1,0,0.0,-422.1891603585152,3
56,1,1,1,1,0,1,1,0,1,0,1,1,0.0,-422.0308609553064,2
57,1,0,1,0,0,1,1,1,1,1,1,1,0.0,-420.55577387003916,1
58,0,0,1,0,0,1,1,1,1,1,1,0,0.0,-420.07754546597823,4
59,1,1,1,0,0,1,1,1,1,0,0,0,0.0,-419.57548762780505,3
60,1,1,1,0,1,0,1,1,1,0,0,0,0.0,-419.1462954991413,3
61,1,0,1,1,0,1,0,1,1,1,1,1,0.0,-418.8795979909264,3
62,0,1,1,1,0,1,1,1,1,0,1,1,0.0,-418.66874876746857,2
63,0,1,1,0,0,0,1,0,1,1,1,1,0.0,-417.9192564607643,2
64,1,1,1,1,0,1,0,1,1,0,0,0,0.0,-417.89931174869236,5
65,1,0,1,1,0,1,0,1,0,0,1,1,0.0,-417.7380906427782,7
66,1,1,1,1,1,0,0,1,1,0,0,0,0.0,-417.4701196200286,10
67,1,0,1,0,0,1,1,0,1,0,1,1,0.0,-416.8821329896724,1
68,0,0,1,1,0,1,1,1,1,1,1,1,0.0,-416.55713387493154,4
69,1,1,1,1,0,1,0,0,0,1,1,1,0.0,-416.05287117959557,2
70,1,1,0,0,0,1,1,1,1,0,1,1,0.0,-416.04644462947766,1
71,1,0,1,0,0,1,0,1,1,0,1,1,0.0,-415.8424849178295,1
72,1,1,1,1,0,1,1,1,1,0,1,0,0.0,-415.68415548338544,1
73,1,0,1,1,0,1,0,0,1,0,1,1,0.0,-415.20595711055967,2
74,1,1,0,1,0,1,0,1,1,0,1,1,0.0,-414.3702687503649,1
75,0,1,1,0,0,1,1,1,0,1,1,1,0.0,-414.3669348708704,1
76,1,1,1,0,0,1,0,0,1,1,1,1,0.0,-414.1572654546468,1
77,0,1,1,1,0,1,1,0,0,1,1,1,0.0,-413.73040706360064,4
78,1,1,1,0,1,1,1,1,1,0,0,0,0.0,-413.06184037702883,2
79,0,1,1,1,0,1,0,1,0,1,1,1,0.0,-412.6907589917577,1
80,0,1,1,0,0,0,1,1,1,1,0,1,0.0,-411.9434715422163,2
81,0,1,1,0,0,0,1,1,1,1,1,0,0.0,-411.5725509888433,6
82,1,1,1,1,1,1,0,1,1,0,0,0,0.0,-411.38566449791614,2
83,1,0,1,0,0,1,1,1,1,0,0,1,0.0,-410.9063480711244,4
84,0,1,1,0,0,1,0,1,1,1,1,1,0.0,-410.79515326680894,1
85,1,0,1,0,0,1,1,1,1,0,1,0,0.0,-410.53542751775143,2
86,1,1,1,1,0,0,0,1,1,1,1,1,0.0,-410.3746035137916,1
87,1,1,1,1,0,1,0,1,0,1,0,1,0.0,-410.07708626104755,1
88,1,1,1,1,0,1,0,1,0,1,1,0,0.0,-409.7061657076746,6
89,1,1,1,1,0,0,0,1,0,0,1,1,0.0,-409.2330961656434,3
90,1,0,1,1,0,1,0,1,1,0,0,1,0.0,-409.23017219201165,4
91,1,0,1,1,0,1,0,1,1,0,1,0,0.0,-408.8592516386387,2
92,1,1,1,0,0,1,1,0,1,1,1,0,0.0,-408.8502080545687,1
93,0,1,1,0,0,1,1,0,1,1,0,0,0.0,-408.7229002038807,2
94,0,1,1,0,1,0,1,0,1,1,0,0,0.0,-408.29370807521695,4
95,0,1,1,1,0,0,1,1,1,1,1,1,0.0,-408.0521393977967,1
