,0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,1,1,1,1,1,0,0.0,-450.0553096452094,118
1,1,1,1,1,1,0,1,1,1,0,0.0,-436.3597525347608,41
2,1,1,0,1,1,1,1,1,1,0,0.0,-434.81662179213015,43
3,1,1,1,0,1,1,1,1,1,0,0.0,-425.35525794782893,23
4,1,1,0,0,0,1,1,1,1,0,0.0,-421.3745577412809,34
5,1,0,0,0,0,1,1,1,1,1,0.0,-418.58815834339737,36
6,1,1,1,1,1,0,1,1,0,0,0.0,-416.6115749698795,8
7,1,1,0,0,0,1,1,1,1,1,0.0,-414.8709104905047,21
8,1,1,0,0,1,1,0,1,1,0,0.0,-414.64475924445674,16
9,1,1,0,1,1,0,1,1,1,0,0.0,-411.0698042321412,11
10,0,1,0,0,1,1,1,1,1,0,0.0,-410.679993709757,35
11,1,1,1,1,1,1,1,1,1,0,0.0,-410.1065700947497,6
12,1,1,1,1,0,0,1,1,1,0,0.0,-407.6890006308323,13
13,1,1,0,1,0,1,1,1,1,0,0.0,-406.1458698882017,23
14,1,1,1,0,1,1,1,1,0,0,0.0,-405.60708038294763,10
15,1,0,1,1,0,0,1,1,1,1,0.0,-404.9026012329489,16
16,1,0,0,0,1,1,1,1,1,0,0.0,-403.78255749810205,22
17,1,0,0,1,0,1,1,1,1,1,0.0,-403.35947049031813,14
18,1,1,1,1,0,0,1,1,1,1,0.0,-401.1753533800561,9
19,1,1,1,1,1,0,0,1,1,0,0.0,-400.95920213400814,8
20,1,1,0,1,0,1,1,1,1,1,0.0,-399.63222263742546,5
21,1,1,0,1,1,1,0,1,1,0,0.0,-399.4160713913775,7
22,1,0,0,0,1,1,1,1,1,1,0.0,-397.2789102473258,10
23,0,1,1,1,1,0,1,1,1,0,0.0,-396.9944365993084,9
24,1,1,1,0,0,1,1,1,1,0,0.0,-396.68450604390046,11
25,0,1,0,1,1,1,1,1,1,0,0.0,-395.4513058566778,18
26,1,0,1,0,0,1,1,1,1,1,0.0,-393.8981066460169,14
27,1,1,0,0,1,1,1,1,1,1,0.0,-393.55166239443315,11
28,1,1,0,0,1,1,1,0,1,0,0.0,-393.42436551211085,7
29,1,1,1,1,1,1,1,1,0,0,0.0,-390.3683925298684,2
30,1,1,1,0,0,1,1,1,1,1,0.0,-390.17085879312424,7
31,1,0,1,1,1,0,1,1,1,0,0.0,-390.09700038765357,7
32,1,1,1,0,1,1,0,1,1,0,0.0,-389.9547075470763,3
33,1,0,0,1,1,1,1,1,1,0,0.0,-388.5538696450228,9
34,1,1,1,1,0,0,1,1,0,0,0.0,-387.930823065951,4
35,0,1,1,0,1,1,1,1,1,0,0.0,-385.98994201237645,16
36,1,1,0,0,0,1,0,1,1,0,0.0,-385.9540073405283,1
37,1,0,1,1,0,0,1,1,0,1,0.0,-385.1444236680676,5
