,label,silhouette,algorithm,cluster_name
0,0,89.42531593545236,DBSCAN,DBSCAN_0
1,1,96.32275214710725,DBSCAN,DBSCAN_1
2,2,75.3499483026195,DBSCAN,DBSCAN_2
3,3,34.82131214692073,DBSCAN,DBSCAN_3
4,4,28.740751903928405,DBSCAN,DBSCAN_4
5,5,73.80681755998884,BIRCH,BIRCH_5
6,6,85.46055040075262,BIRCH,BIRCH_6
7,7,106.68094413309846,BIRCH,BIRCH_7
8,8,69.80817756488122,BIRCH,BIRCH_8
9,9,43.54635274922373,BIRCH,BIRCH_9
10,15,93.9655448778875,SpectralClustering,SpectralClustering_15
11,16,70.44470537215102,SpectralClustering,SpectralClustering_16
12,17,67.91257183993247,SpectralClustering,SpectralClustering_17
13,18,71.48435344399395,SpectralClustering,SpectralClustering_18
14,19,33.35893550821562,SpectralClustering,SpectralClustering_19
15,20,26.43049029069903,SpectralClustering,SpectralClustering_20
16,21,26.801410844071977,SpectralClustering,SpectralClustering_21
