,0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,1,1,0,1,1,0,1,1,1,1,0,0,0.0,-452.8573076673739,17
1,1,1,0,0,1,0,1,1,1,1,1,0,0.0,-451.3949310286688,11
2,1,1,0,1,0,1,1,1,1,1,0,0,0.0,-450.9179666075174,12
3,1,1,0,0,0,1,1,1,1,1,1,0,0.0,-449.4555899688123,11
4,1,1,0,1,1,0,1,1,1,1,1,0,0.0,-436.1462431755896,2
5,1,1,0,1,0,1,1,1,1,1,1,0,0.0,-434.2069021157331,4
6,1,0,0,1,1,0,1,1,1,1,0,1,0.0,-432.95504581096566,7
7,1,1,0,1,1,0,1,1,0,1,0,0,0.0,-432.4726022952228,7
8,1,0,0,0,1,0,1,1,1,1,1,1,0.0,-431.49266917226055,14
9,1,0,0,1,0,1,1,1,1,1,0,1,0.0,-431.01570475110924,8
10,1,1,0,0,1,0,1,1,0,1,1,0,0.0,-431.0102256565177,6
11,1,1,0,1,0,1,1,1,0,1,0,0,0.0,-430.53326123536635,8
12,1,1,0,1,1,1,1,1,1,1,0,0,0.0,-429.58871851144596,3
13,1,0,0,0,0,1,1,1,1,1,1,1,0.0,-429.55332811240413,9
14,1,1,0,1,1,0,1,1,1,1,0,1,0.0,-429.217797958073,1
15,1,1,0,0,0,1,1,1,0,1,1,0,0.0,-429.07088459666124,3
16,1,1,1,1,1,0,1,1,1,1,0,0,0.0,-428.14725596999347,6
17,1,1,0,0,1,1,1,1,1,1,1,0,0.0,-428.1263418727408,4
18,1,1,0,0,1,0,1,1,1,1,1,1,0.0,-427.7554213193679,5
19,1,1,0,1,0,1,1,1,1,1,0,1,0.0,-427.2784568982165,6
20,1,1,1,0,1,0,1,1,1,1,1,0,0.0,-426.68487933128836,5
21,1,1,1,1,0,1,1,1,1,1,0,0,0.0,-426.20791491013705,7
22,1,1,0,0,0,1,1,1,1,1,1,1,0.0,-425.8160802595114,2
23,1,1,1,0,0,1,1,1,1,1,1,0,0.0,-424.74553827143194,6
24,1,1,0,1,0,0,1,1,1,1,0,0,0.0,-424.1865557634454,8
25,1,1,0,0,0,0,1,1,1,1,1,0,0.0,-422.7241791247403,8
26,1,1,0,0,1,0,1,1,1,1,0,0,0.0,-418.1059955204531,2
27,1,0,0,1,1,0,1,1,1,1,1,1,0.0,-416.24398131918133,6
28,1,1,0,0,0,1,1,1,1,1,0,0,0.0,-416.16665446059665,5
29,1,0,0,1,0,1,1,1,1,1,1,1,0.0,-414.3046402593249,2
30,1,1,0,1,0,1,1,1,0,1,1,0,0.0,-413.832196743582,3
31,0,1,0,1,1,0,1,1,1,1,0,0,0.0,-413.49199173192153,2
32,1,1,0,1,1,1,1,1,1,1,1,0,0.0,-412.86765401966164,3
33,1,0,0,1,1,0,1,1,0,1,0,1,0.0,-412.5703404388146,4
34,1,1,0,1,1,0,1,1,1,1,1,1,0.0,-412.4967334662887,3
35,0,1,0,0,1,0,1,1,1,1,1,0,0.0,-412.02961509321636,1
