,0,1,2,3,4,5,6,7,8,9,10,11,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,1,1,0,0,0,1,0,0,0.0,-415.2522648544239,39
1,1,0,0,1,0,1,0,0,1,1,0,1,0.0,-406.94749925741087,21
2,1,0,0,1,1,1,0,0,1,1,0,0,0.0,-406.2347919236213,20
3,1,0,1,1,1,0,0,1,0,1,0,0,0.0,-405.83077614771423,13
4,1,0,1,0,1,0,0,1,0,1,1,0,0.0,-404.1546002686015,23
5,1,0,1,1,1,1,0,0,1,1,0,0,0.0,-400.6728152551766,18
6,1,0,0,1,1,1,0,0,1,1,0,1,0.0,-399.73114467284506,8
7,1,0,1,1,1,1,1,0,0,1,0,0,0.0,-398.1542972575928,4
8,1,0,0,1,0,0,0,1,1,1,0,1,0.0,-397.5260105507012,8
9,1,1,1,1,1,1,0,0,0,1,0,0,0.0,-397.05940613830427,12
10,1,0,0,1,1,0,0,1,1,1,0,0,0.0,-396.81330321691155,10
11,1,0,0,0,0,0,0,1,1,1,1,1,0.0,-395.8498346715885,16
12,1,0,0,0,1,0,0,1,1,1,1,0,0.0,-395.1371273377989,9
13,1,0,1,1,1,0,0,1,1,1,0,0,0.0,-391.25132654846686,10
14,1,0,0,1,1,0,0,1,1,1,0,1,0.0,-390.3096559661353,8
15,1,0,0,1,0,1,1,0,1,1,0,1,0.0,-389.84953166057977,2
16,1,0,1,0,1,0,0,1,1,1,1,0,0.0,-389.5751506693541,6
17,1,0,0,1,1,1,1,0,1,1,0,0,0.0,-389.13682432679013,1
18,1,0,1,1,1,1,0,1,0,1,0,0,0.0,-389.01908241441276,9
19,1,0,1,1,1,0,1,1,0,1,0,0,0.0,-388.7328085508831,3
20,1,0,0,0,1,0,0,1,1,1,1,1,0.0,-388.6334800870227,7
21,1,1,0,1,1,1,0,0,1,1,0,0,0.0,-388.04193320750164,7
22,1,1,1,1,1,0,0,1,0,1,0,0,0.0,-387.6379174315946,7
23,0,0,1,0,1,0,0,1,0,1,1,0,0.0,-387.507608004958,8
24,1,0,1,0,1,1,0,1,0,1,1,0,0.0,-387.34290653530013,10
25,1,0,1,0,1,0,1,1,0,1,1,0,0.0,-387.05663267177033,2
26,1,1,1,0,1,0,0,1,0,1,1,0,0.0,-385.96174155248184,9
27,1,0,1,1,1,1,0,0,0,1,1,0,0.0,-385.02044241930514,2
28,1,0,1,0,1,0,0,1,0,1,0,0,0.0,-384.3864227037202,5
29,1,0,1,1,1,1,1,0,1,1,0,0,0.0,-383.56484765834546,2
30,1,0,0,1,1,1,1,0,1,1,0,1,0.0,-382.6231770760139,2
31,1,1,1,1,1,1,0,0,1,1,0,0,0.0,-382.46995653905697,2
32,1,0,1,1,1,0,0,0,0,1,0,0,0.0,-382.0639585877253,7
33,1,0,0,1,0,1,0,1,1,1,0,1,0.0,-380.7143168173998,3
34,1,0,0,1,0,0,1,1,1,1,0,1,0.0,-380.4280429538701,1
35,1,0,0,1,1,1,0,1,1,1,0,0,0.0,-380.0016094836101,4
36,1,1,1,1,1,1,1,0,0,1,0,0,0.0,-379.9514385414732,3
37,1,0,0,1,1,0,1,1,1,1,0,0,0.0,-379.7153356200804,1
38,0,0,0,0,0,0,0,1,1,1,1,1,0.0,-379.202842407945,5
39,1,0,0,0,0,1,0,1,1,1,1,1,0.0,-379.03814093828703,9
40,1,0,0,0,0,0,1,1,1,1,1,1,0.0,-378.75186707475734,1
41,1,1,0,1,1,0,0,1,1,1,0,0,0.0,-378.6204445007919,5
42,0,0,0,0,1,0,0,1,1,1,1,0,0.0,-378.4901350741553,4
43,1,0,0,0,1,1,0,1,1,1,1,0,0.0,-378.32543360449745,6
44,1,1,0,0,1,0,0,1,1,1,1,0,0.0,-376.94426862167916,6
45,1,0,0,1,0,1,0,0,1,1,1,1,0.0,-376.71567682229215,2
46,1,0,0,0,0,0,0,1,1,1,0,1,0.0,-376.0816571067072,4
47,1,0,0,1,1,1,0,0,1,1,1,0,0.0,-376.0029694885026,4
48,1,0,1,1,1,0,0,1,0,1,1,0,0.0,-375.5989537125955,1
49,1,0,0,0,1,0,0,1,1,1,0,0,0.0,-375.36894977291763,9
50,1,0,1,1,1,1,0,1,1,1,0,0,0.0,-374.4296328151654,9
51,1,0,1,1,1,0,1,1,1,1,0,0,0.0,-374.1433589516357,3
52,1,0,0,1,0,0,0,0,1,1,0,1,0.0,-373.7591929907123,3
53,1,0,0,1,1,1,0,1,1,1,0,1,0.0,-373.48796223283387,7
54,1,1,1,1,1,1,1,0,0,0,0,0,0.0,-373.32049440837466,4
55,1,0,0,1,1,0,1,1,1,1,0,1,0.0,-373.2016883693042,2
56,1,1,1,1,1,0,0,1,1,1,0,0,0.0,-373.0484678323472,4
57,1,0,0,1,1,0,0,0,1,1,0,0,0.0,-373.0464856569227,5
58,0,0,1,0,1,0,0,1,1,1,1,0,0.0,-372.9381584057106,6
59,1,0,1,0,1,1,0,1,1,1,1,0,0.0,-372.75345693605277,2
60,0,0,0,0,1,0,0,1,1,1,1,1,0.0,-371.9964878233791,7
61,1,0,1,1,1,1,1,1,0,1,0,0,0.0,-371.91111481758173,3
62,1,0,0,0,1,1,0,1,1,1,1,1,0.0,-371.81178635372123,4
63,1,0,0,0,1,0,1,1,1,1,1,1,0.0,-371.52551249019155,3
64,1,1,1,0,1,0,0,1,1,1,1,0,0.0,-371.3722919532345,5
65,1,1,0,1,1,1,1,0,1,1,0,0,0.0,-370.9339656106705,1
66,1,1,1,1,1,1,0,1,0,1,0,0,0.0,-370.81622369829313,3
67,1,0,0,1,1,1,0,0,0,1,0,0,0.0,-370.8142415228686,6
68,0,0,1,0,1,1,0,1,0,1,1,0,0.0,-370.7059142716565,8
69,1,0,1,0,1,1,1,1,0,1,1,0,0.0,-370.234938938469,2
70,1,0,0,1,1,1,0,0,1,1,1,1,0.0,-369.48932223772636,2
71,0,1,1,0,1,0,0,1,0,1,1,0,0.0,-369.32474928883835,6
72,1,1,1,0,1,1,0,1,0,1,1,0,0.0,-369.1400478191804,7
73,1,0,0,0,1,0,0,1,1,1,0,1,0.0,-368.8753025221414,3
74,1,1,1,0,1,0,1,1,0,1,1,0,0.0,-368.8537739556507,1
75,0,0,1,1,1,1,0,0,0,1,1,0,0.0,-368.38345015566165,1
76,1,0,1,0,1,1,0,1,0,1,0,0,0.0,-367.58472897041884,3
77,1,0,1,1,1,0,0,0,1,1,0,0,0.0,-367.49450898847795,2
78,1,0,1,0,1,0,1,1,0,1,0,0,0.0,-367.2984551068891,3
79,1,0,0,1,1,0,0,1,1,1,1,0,0.0,-366.58148078179283,1
80,1,0,0,1,1,0,0,0,1,1,0,1,0.0,-366.55283840614646,2
81,1,1,1,0,1,0,0,1,0,1,0,0,0.0,-366.20356398760055,7
82,1,1,1,1,1,1,1,0,1,1,0,0,0.0,-365.35198894222583,1
83,1,0,1,1,1,0,1,0,0,1,0,0,0.0,-364.97599099089416,4
84,1,0,0,1,1,1,0,0,0,1,0,1,0.0,-364.32059427209236,2
85,1,1,0,1,1,1,1,0,1,0,0,0,0.0,-364.303021477572,3
86,1,1,1,1,1,0,1,1,0,0,0,0,0.0,-363.8990057016649,3
87,1,1,1,1,1,0,0,0,0,1,0,0,0.0,-363.88109987160567,4
88,1,0,0,1,0,1,1,1,1,1,0,1,0.0,-363.60634922056863,1
89,1,0,1,0,1,1,0,0,0,1,1,0,0.0,-363.5860889753112,5
90,1,0,0,1,0,1,0,0,1,1,0,0,0.0,-363.4511465081871,3
91,1,0,0,1,1,1,1,1,1,1,0,0,0.0,-362.89364188677905,2
92,0,0,0,0,0,1,0,1,1,1,1,1,0.0,-362.40114867464354,2
93,1,1,1,0,1,0,1,1,0,0,1,0,0.0,-362.22282982255217,4
94,0,0,0,0,0,0,1,1,1,1,1,1,0.0,-362.11487481111385,1
95,1,0,0,0,0,1,1,1,1,1,1,1,0.0,-361.9301733414559,1
96,1,1,0,1,1,1,0,1,1,1,0,0,0.0,-361.79875076749045,6
97,0,0,0,0,1,1,0,1,1,1,1,0,0.0,-361.68844134085396,1
98,1,1,0,1,1,0,1,1,1,1,0,0,0.0,-361.51247690396076,1
99,0,0,0,0,1,0,1,1,1,1,1,0,0.0,-361.40216747732427,1
100,1,0,0,1,1,0,0,1,0,1,0,0,0.0,-361.3927528161589,3
101,1,0,0,0,1,1,1,1,1,1,1,0,0.0,-361.2174660076663,2
102,1,0,1,1,1,0,0,1,1,1,1,0,0.0,-361.00950411334816,3
103,0,1,0,0,1,0,0,1,1,1,1,0,0.0,-360.30727635803566,2
104,1,1,0,0,1,1,0,1,1,1,1,0,0.0,-360.1225748883778,3
105,0,0,0,1,0,1,0,0,1,1,1,1,0.0,-360.07868455864866,3
106,1,1,0,0,1,0,1,1,1,1,1,0,0.0,-359.8363010248481,3
107,1,0,0,0,1,0,0,1,0,1,1,0,0.0,-359.71657693704617,4
108,1,0,0,1,0,1,1,0,1,1,1,1,0.0,-359.607709225461,1
109,0,0,0,1,1,1,0,0,1,1,1,0,0.0,-359.3659772248591,1
110,1,0,0,0,0,1,0,1,1,1,0,1,0.0,-359.27996337340574,1
111,1,0,0,0,0,0,1,1,1,1,0,1,0.0,-358.99368950987605,2
112,0,0,1,1,1,0,0,1,0,1,1,0,0.0,-358.961961448952,3
113,1,0,1,1,1,1,0,0,0,1,0,1,0.0,-358.7586176036477,1
114,1,1,1,1,1,1,1,0,1,0,0,0,0.0,-358.7310448091273,4
115,1,0,0,0,1,1,0,1,1,1,0,0,0.0,-358.56725603961615,4
116,1,0,0,0,1,0,1,1,1,1,0,0,0.0,-358.28098217608647,2
117,1,0,1,1,0,1,0,0,1,1,0,0,0.0,-357.8991698397424,3
118,1,0,1,1,1,1,1,1,1,1,0,0,0.0,-357.3116652183344,1
119,1,1,0,0,1,0,0,1,1,1,0,0,0.0,-357.18609105679786,5
