,label,silhouette,algorithm,cluster_name
0,0,66.68699226364345,KMeans,KMeans_0
1,1,31.8571412838803,KMeans,KMeans_1
2,2,44.48802333155524,KMeans,KMeans_2
3,3,71.48435344399395,KMeans,KMeans_3
4,4,92.82364541543413,KMeans,KMeans_4
5,5,33.23830626669853,KMeans,KMeans_5
6,6,32.95203240316883,KMeans,KMeans_6
7,7,73.80681755998884,BIRCH,BIRCH_7
8,8,85.46055040075262,BIRCH,BIRCH_8
9,9,106.68094413309846,BIRCH,BIRCH_9
10,10,69.80817756488122,BIRCH,BIRCH_10
11,11,43.54635274922373,BIRCH,BIRCH_11
12,19,70.44470537215102,SpectralClustering,SpectralClustering_19
13,20,93.9655448778875,SpectralClustering,SpectralClustering_20
14,21,71.48435344399395,SpectralClustering,SpectralClustering_21
15,22,67.91257183993247,SpectralClustering,SpectralClustering_22
16,23,33.35893550821562,SpectralClustering,SpectralClustering_23
17,24,26.43049029069903,SpectralClustering,SpectralClustering_24
18,25,26.801410844071977,SpectralClustering,SpectralClustering_25
