bitstrings,occurrences
111111000001,20
001111101000,19
111101000101,19
111111100000,17
111101100100,17
001101101100,16
110101010101,15
110101110100,15
110111010001,15
001110101010,15
001111001001,15
110110110010,15
111100100110,15
110100110110,14
001100001111,14
001100101110,14
111110000011,13
001110001011,13
000111111000,13
000100111110,13
110110010011,13
000101111100,13
110100010111,13
111100000111,12
000101011101,12
001101001101,11
110011010001,11
100110110010,11
110111110000,11
100111010001,10
011110000011,10
000111011001,10
000100011111,10
111000000111,10
010111010001,9
011101000101,9
111110100010,9
110000010111,9
000010111010,9
011111100000,8
010101110100,8
110000110110,8
010100110110,7
100100110110,7
000011111000,7
111011000001,7
000110111010,7
010110110010,7
010110010011,7
011100000111,7
100101110100,7
100110010011,7
100101010101,6
100000110110,6
101111000001,6
111001000101,6
010100010111,6
001011001001,6
101100000111,6
110001110100,6
011101100100,6
111011100000,6
001010001011,6
101111100000,6
111010100010,5
101011000001,5
111000100110,5
110010110010,5
011110100010,5
011111000001,5
101101100100,5
110001010101,5
000000011111,5
000000111110,5
000110011011,5
001000001111,5
000011011001,5
001011101000,5
011000100110,4
101001100100,4
000010011011,4
001000101110,4
011011100000,4
010000110110,4
101101000101,4
100011110000,4
111001100100,4
000001111100,4
111010000011,4
010010010011,3
100100010111,3
001101101000,3
100001010101,3
001001101100,3
001010101010,3
110111010000,3
011100100110,3
001001001101,3
101100100110,3
110110010001,3
101110000011,3
101110100010,3
110101100100,3
001110001010,3
110011110000,3
011000000111,3
010011110000,3
011001100100,3
010111110000,3
011010100010,3
010110010010,2
000100011011,2
000100101110,2
101001000101,2
101010000011,2
101010100010,2
101011100000,2
010101010101,2
001010101000,2
010001010101,2
001000101100,2
010001110100,2
110101110000,2
111111000000,2
000110001011,2
000110011001,2
110100110010,2
110100010101,2
100111110000,2
011100100100,2
100010010011,2
111011000000,2
111100100100,2
001101001100,2
001100101010,2
111100000011,2
100000010111,2
000010101010,2
011011000001,2
100001110100,2
100100000111,2
011001000101,2
011010000011,2
000110101010,1
110100000111,1
110100010011,1
111100000110,1
110100010110,1
111000100100,1
110100100110,1
111101000001,1
111100000101,1
110101010100,1
111001000100,1
111000000110,1
000100011101,1
000101011100,1
000010111000,1
000011001001,1
111100100010,1
000001011101,1
110110000011,1
000010011001,1
000011101000,1
111110100000,1
000101011001,1
000001100100,1
000100111010,1
111110000001,1
000010001011,1
110111000001,1
111101000100,1
101101000100,1
000110111000,1
110010100010,1
001100001101,1
100100110010,1
100011010001,1
100011010000,1
100001010100,1
001100001110,1
000000101110,1
001101001000,1
011110000001,1
001110001001,1
001111001000,1
011100000001,1
011010000010,1
011001000001,1
011000100100,1
010000000111,1
010111010000,1
010000010011,1
010110110000,1
010000010111,1
010101000101,1
010100010011,1
010011010001,1
001100001011,1
100101100100,1
100110010001,1
110000110010,1
110010010011,1
110010010010,1
110010000011,1
000111011000,1
110001110000,1
110001100100,1
001000001001,1
110001010100,1
110001010000,1
001000001101,1
110000100110,1
001010001010,1
101110100000,1
001001001001,1
010010110010,1
101100100000,1
101011000000,1
101001000001,1
101000100110,1
101000100100,1
101000000111,1
101000000110,1
100000010110,1
